,tweet_id,timestamp,text,rating_numerator,rating_denominator,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,favorite_count,retweet_count
10,890006608113172480,2017-07-26 00:31:25,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,13,10,Samoyed,95%,True,Pomeranian,1%,True,chow,0%,True,26973,6121
11,889880896479866881,2017-07-25 16:11:53,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,13,10,French bulldog,37%,True,Labrador retriever,15%,True,muzzle,8%,False,24506,4145
12,889665388333682689,2017-07-25 01:55:32,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,13,10,Pembroke,96%,True,Cardigan,2%,True,basenji,0%,True,41914,8312
13,889638837579907072,2017-07-25 00:10:02,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,12,10,French bulldog,99%,True,boxer,0%,True,Staffordshire bullterrier,0%,True,23606,3702
14,889531135344209921,2017-07-24 17:02:04,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,13,10,golden retriever,95%,True,Labrador retriever,1%,True,redbone,0%,True,13321,1874
15,889278841981685760,2017-07-24 00:19:32,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,13,10,whippet,62%,True,borzoi,19%,True,Saluki,2%,True,22052,4427
16,888917238123831296,2017-07-23 00:22:39,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,12,10,golden retriever,71%,True,Tibetan mastiff,12%,True,Labrador retriever,10%,True,25552,3747
17,888804989199671297,2017-07-22 16:56:37,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,13,10,golden retriever,46%,True,Labrador retriever,18%,True,English setter,7%,True,22409,3518
18,888554962724278272,2017-07-22 00:23:06,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,13,10,Siberian husky,70%,True,Eskimo dog,16%,True,malamute,11%,True,17259,2868
19,888078434458587136,2017-07-20 16:49:33,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,12,10,French bulldog,99%,True,pug,0%,True,bull mastiff,0%,True,19116,2886
20,887705289381826560,2017-07-19 16:06:48,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic https://t.co/PhrUk20Q64,13,10,basset,82%,True,redbone,8%,True,Weimaraner,2%,True,26554,4522
21,887517139158093824,2017-07-19 03:39:09,I've yet to rate a Venezuelan Hover Wiener. This is such an honor. 14/10 paw-inspiring af (IG: roxy.thedoxy) https://t.co/20VrLAA8ba,14,10,limousine,13%,False,tow truck,2%,False,shopping cart,2%,False,40607,9821
22,887473957103951883,2017-07-19 00:47:34,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her https://t.co/cLyzpcUcMX,13,10,Pembroke,80%,True,Rhodesian ridgeback,5%,True,beagle,3%,True,60027,14973
23,887343217045368832,2017-07-18 16:08:03,You may not have known you needed to see this today. 13/10 please enjoy (IG: emmylouroo) https://t.co/WZqNqygEyV,13,10,Mexican hairless,33%,True,sea lion,27%,False,Weimaraner,13%,True,29514,8788
24,887101392804085760,2017-07-18 00:07:08,This... is a Jubilant Antarctic House Bear. We only rate dogs. Please only send dogs. Thank you... 12/10 would suffocate in floof https://t.co/4Ad1jzJSdp,12,10,Samoyed,73%,True,Eskimo dog,3%,True,Staffordshire bullterrier,2%,True,26894,4975
25,886983233522544640,2017-07-17 16:17:36,This is Maya. She's very shy. Rarely leaves her cup. 13/10 would find her an environment to thrive in https://t.co/I6oNy0CgiT,13,10,Chihuahua,79%,True,toy terrier,14%,True,can opener,3%,False,30276,6294
26,886736880519319552,2017-07-16 23:58:41,"This is Mingus. He's a wonderful father to his smol pup. Confirmed 13/10, but he needs your help

https://t.co/bVi0Yr4Cff https://t.co/ISvKOSkd5b",13,10,kuvasz,30%,True,Great Pyrenees,18%,True,Dandie Dinmont,8%,True,10467,2620
27,886680336477933568,2017-07-16 20:14:00,This is Derek. He's late for a dog meeting. 13/10 pet...al to the metal https://t.co/BCoWue0abA,13,10,convertible,73%,False,sports car,13%,False,car wheel,4%,False,19663,3723
28,886366144734445568,2017-07-15 23:25:31,This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. 12/10 deep breaths Roscoe https://t.co/RGE08MIJox,12,10,French bulldog,99%,True,Chihuahua,0%,True,Boston bull,0%,True,18502,2614
29,886258384151887873,2017-07-15 16:17:19,This is Waffles. His doggles are pupside down. Unsure how to fix. 13/10 someone assist Waffles https://t.co/xZDA9Qsq1O,13,10,pug,94%,True,shower cap,2%,False,Siamese cat,0%,False,24461,5262
30,885984800019947520,2017-07-14 22:10:11,Viewer discretion advised. This is Jimbo. He will rip ur finger right h*ckin off. Other dog clearly an accessory. 12/10 pls pet with caution https://t.co/BuveP0uMF1,12,10,Blenheim spaniel,97%,True,Shih-Tzu,0%,True,Bernese mountain dog,0%,True,28528,5592
31,885528943205470208,2017-07-13 15:58:47,This is Maisey. She fell asleep mid-excavation. Happens to the best of us. 13/10 would pat noggin approvingly https://t.co/tp1kQ8i9JF,13,10,pug,36%,True,Labrador retriever,26%,True,kuvasz,13%,True,31519,5311
32,885167619883638784,2017-07-12 16:03:00,Here we have a corgi undercover as a malamute. Pawbably doing important investigative work. Zero control over tongue happenings. 13/10 https://t.co/44ItaMubBf,13,10,malamute,81%,True,Siberian husky,7%,True,Eskimo dog,5%,True,19203,3655
33,884925521741709313,2017-07-12 00:01:00,"This is Earl. He found a hat. Nervous about what you think of it. 12/10 it's delightful, Earl https://t.co/MYJvdlNRVa",12,10,Italian greyhound,25%,True,American Staffordshire terrier,19%,True,Staffordshire bullterrier,12%,True,67087,14960
34,884876753390489601,2017-07-11 20:47:12,This is Lola. It's her first time outside. Must test the earth and taste the atmosphere. 13/10 you're doing great Lola https://t.co/74TKAUsLkO,13,10,chow,82%,True,Norwich terrier,10%,True,Norfolk terrier,3%,True,24322,4648
35,884562892145688576,2017-07-11 00:00:02,This is Kevin. He's just so happy. 13/10 what is your secret Kevin https://t.co/1r4MFCbCX5,13,10,pug,54%,True,French bulldog,40%,True,Brabancon griffon,4%,True,21264,3897
36,884441805382717440,2017-07-10 15:58:53,"I present to you, Pup in Hat. Pup in Hat is great for all occasions. Extremely versatile. Compact as h*ck. 14/10 (IG: itselizabethgales) https://t.co/vvBOcC2VdC",14,10,Pembroke,99%,True,Cardigan,0%,True,Chihuahua,0%,True,23802,4779
37,884162670584377345,2017-07-09 21:29:42,Meet Yogi. He doesn't have any important dog meetings today he just enjoys looking his best at all times. 12/10 for dangerously dapper doggo https://t.co/YSI00BzTBZ,12,10,German shepherd,70%,True,malinois,19%,True,Norwegian elkhound,4%,True,17896,2494
38,883838122936631299,2017-07-09 00:00:04,This is Noah. He can't believe someone made this mess. Got the vacuum out for you though. Offered to help clean pup. 12/10 super good boy https://t.co/V85xujjDDY,12,10,Doberman,61%,True,miniature pinscher,29%,True,kelpie,6%,True,19110,2850
39,883482846933004288,2017-07-08 00:28:19,"This is Bella. She hopes her smile made you smile. If not, she is also offering you her favorite monkey. 13.5/10 https://t.co/qjrljjt948",5,10,golden retriever,94%,True,Labrador retriever,3%,True,kuvasz,0%,True,40081,8232
40,883360690899218434,2017-07-07 16:22:55,Meet Grizzwald. He may be the floofiest floofer I ever did see. Lost eyes saving a schoolbus from a volcano erpuption. 13/10 heroic as h*ck https://t.co/rf661IFEYP,13,10,chow,98%,True,Tibetan mastiff,0%,True,Newfoundland,0%,True,19896,3061
41,883117836046086144,2017-07-07 00:17:54,"Please only send dogs. We don't rate mechanics, no matter how h*ckin good. Thank you... 13/10 would sneak a pat https://t.co/Se5fZ9wp5E",13,10,golden retriever,94%,True,Labrador retriever,4%,True,kuvasz,0%,True,32416,5512
42,882992080364220416,2017-07-06 15:58:11,This is Rusty. He wasn't ready for the first pic. Clearly puppared for the second. 13/10 confirmed great boy https://t.co/tyER0KpdXj,13,10,Eskimo dog,46%,True,Siberian husky,40%,True,dingo,7%,False,20931,3232
43,882762694511734784,2017-07-06 00:46:41,This is Gus. He's quite the cheeky pupper. Already perfected the disinterested wink. 12/10 would let steal my girl https://t.co/D43I96SlVu,12,10,Labrador retriever,85%,True,Chesapeake Bay retriever,7%,True,flat-coated retriever,1%,True,24719,4080
44,882627270321602560,2017-07-05 15:48:34,This is Stanley. He has his first swim lesson today. Doggle straps adjusted. Ready to go. 13/10 Phelps is nervous (IG: stanleythe_corgi) https://t.co/Nx52PGwH94,13,10,Pembroke,54%,True,Chihuahua,25%,True,Cardigan,10%,True,24545,5047
45,882268110199369728,2017-07-04 16:01:23,This is Alfy. You're witnessing his first watermelon experience. I think it was a success. 13/10 happy 4th Alfy 🇺🇸 https://t.co/fYP5RlutfA,13,10,golden retriever,76%,True,Labrador retriever,9%,True,cocker spaniel,1%,True,39076,9590
46,882045870035918850,2017-07-04 01:18:17,"This is Koko. Her owner, inspired by Barney, recently built a cart for her to use during walks if she got tired. 13/10 rest easy Koko https://t.co/zeDpnsKX7w",13,10,web site,94%,False,dhole,1%,False,golden retriever,0%,True,25652,4070
47,881906580714921986,2017-07-03 16:04:48,This is Rey. He's a Benebop Cumberfloof. 12/10 dangerously pettable https://t.co/503CgWbhxQ,12,10,Weimaraner,29%,True,Chesapeake Bay retriever,27%,True,koala,12%,False,21384,2843
48,881666595344535552,2017-07-03 00:11:11,This is Gary. He couldn't miss this puppertunity for a selfie. Flawless focusing skills. 13/10 would boop intensely https://t.co/7CSWCl8I6s,13,10,Saluki,52%,True,Afghan hound,25%,True,golden retriever,16%,True,44432,8922
49,881536004380872706,2017-07-02 15:32:16,"Here is a pupper approaching maximum borkdrive. Zooming at never before seen speeds. 14/10 paw-inspiring af 
(IG: puffie_the_chow) https://t.co/ghXBIIeQZF",14,10,Samoyed,28%,True,Angora,27%,False,Persian cat,11%,False,43329,13357
50,881268444196462592,2017-07-01 21:49:04,Meet Elliot. He's a Canadian Forrest Pup. Unusual number of antlers for a dog. Sneaky tongue slip to celebrate #Canada150. 12/10 would pet https://t.co/cgwJwowTMC,12,10,tusker,47%,False,Indian elephant,24%,False,ibex,5%,False,20424,4486
51,880935762899988482,2017-06-30 23:47:07,This is Louis. He's crossing. It's a big deal. 13/10 h*ckin breathtaking https://t.co/D0wb1GlKAt,13,10,street sign,25%,False,umbrella,11%,False,traffic light,6%,False,15003,2329
52,880872448815771648,2017-06-30 19:35:32,Ugh not again. We only rate dogs. Please don't send in well-dressed  floppy-tongued street penguins. Dogs only please. Thank you... 12/10 https://t.co/WiAMbTkDPf,12,10,Pembroke,79%,True,Norwich terrier,6%,True,Chihuahua,3%,True,18673,3193
53,880465832366813184,2017-06-29 16:39:47,This is Bella. She had her first beach experience this morning. Complete success. 12/10 would perform a sandy boop https://t.co/4VsFysDmiw,12,10,golden retriever,91%,True,Labrador retriever,2%,True,cocker spaniel,0%,True,24956,5198
54,880221127280381952,2017-06-29 00:27:25,Meet Jesse. He's a Fetty Woof. His tongue ejects without warning. A true bleptomaniac. 12/10 would snug well https://t.co/fUod0tVmvK,12,10,Chihuahua,23%,True,meerkat,10%,False,clumber,5%,True,23583,3453
55,880095782870896641,2017-06-28 16:09:20,Please don't send in photos without dogs in them. We're not @porch_rates. Insubordinate and churlish. Pretty good porch tho 11/10 https://t.co/HauE8M3Bu4,11,10,miniature pinscher,12%,True,Rhodesian ridgeback,10%,True,beagle,10%,True,24243,3638
56,879862464715927552,2017-06-28 00:42:13,This is Romeo. He would like to do an entrance. Requesting your immediate assistance. 13/10 https://t.co/Qh5aEkRQm9,13,10,basset,81%,True,beagle,14%,True,cocker spaniel,0%,True,19657,2915
57,879492040517615616,2017-06-27 00:10:17,This is Bailey. He thinks you should measure ear length for signs of growth instead. 12/10 https://t.co/IxM9IMKQq8,12,10,German short-haired pointer,47%,True,vizsla,12%,True,bath towel,7%,False,20660,2622
58,879415818425184262,2017-06-26 19:07:24,This is Duddles. He did an attempt. 13/10 someone help him (vid by Georgia Felici) https://t.co/UDT7ZkcTgY,13,10,English springer,38%,True,Boston bull,13%,True,Cardigan,11%,True,92597,37307
59,879376492567855104,2017-06-26 16:31:08,This is Jack AKA Stephen Furry. You're not scoring on him. Unless he slips down the slide. 12/10 would happily get blocked by https://t.co/0gOi601EAa,12,10,tricycle,66%,False,Labrador retriever,3%,True,Pembroke,1%,True,14820,2637
60,879050749262655488,2017-06-25 18:56:45,This is Steven. He has trouble relating to other dogs. Quite shy. Neck longer than average. Tropical probably. 11/10 would still pet https://t.co/2mJCDEJWdD,11,10,tabby,31%,False,window screen,16%,False,Egyptian cat,13%,False,19768,3939
61,879008229531029506,2017-06-25 16:07:47,This is Beau. That is Beau's balloon. He takes it everywhere. 13/10 would protect at all costs https://t.co/YDtpCjIPKN,13,10,vizsla,96%,True,miniature pinscher,0%,True,American Staffordshire terrier,0%,True,16727,2233
62,878776093423087618,2017-06-25 00:45:22,This is Snoopy. He's a proud #PrideMonthPuppo. Impeccable handwriting for not having thumbs. 13/10 would love back #PrideMonth https://t.co/lNZwgNO4gS,13,10,Italian greyhound,73%,True,whippet,15%,True,Ibizan hound,3%,True,17094,3422
63,878281511006478336,2017-06-23 16:00:04,"Meet Shadow. In an attempt to reach maximum zooming borkdrive, he tore his ACL. Still 13/10 tho. Help him out below

https://t.co/245xJJElsY https://t.co/lUiQH219v6",13,10,basset,32%,True,collie,21%,True,Appenzeller,12%,True,6762,1073
64,878057613040115712,2017-06-23 01:10:23,This is Emmy. She was adopted today. Massive round of pupplause for Emmy and her new family. 14/10 for all involved https://t.co/cwtWnHMVpe,14,10,French bulldog,83%,True,Boston bull,7%,True,toy terrier,1%,True,37050,5716
65,877736472329191424,2017-06-22 03:54:17,This is Aja. She was just told she's a good dog. Suspicions confirmed. 13/10 would tell again https://t.co/lsPyyAiF1r,13,10,Chesapeake Bay retriever,83%,True,Labrador retriever,6%,True,Weimaraner,4%,True,68986,15743
66,877556246731214848,2017-06-21 15:58:08,This is Penny. She's both pupset and fired pup. Not pleased w your barbaric attempts at cleanliness. 12/10 would enjoy more shampoo options https://t.co/OYdDlfOGXP,12,10,basset,99%,True,Welsh springer spaniel,0%,True,bathtub,0%,False,19848,3157
67,877316821321428993,2017-06-21 00:06:44,"Meet Dante. At first he wasn't a fan of his new raincoat, then he saw his reflection. H*ckin handsome. 13/10 for water resistant good boy https://t.co/SHRTIo5pxc",13,10,Saluki,50%,True,Italian greyhound,9%,True,golden retriever,7%,True,24079,4328
68,877201837425926144,2017-06-20 16:29:50,This is Nelly. He graduated with his dogtorate today. Wants to know if you're proud of him. 12/10 would give congratulatory boop https://t.co/4g4cfj3P4Y,12,10,Pembroke,93%,True,Cardigan,6%,True,basenji,0%,True,23808,4609
69,876838120628539392,2017-06-19 16:24:33,This is Ginger. She's having a ruff Monday. Too many pupper things going on. H*ckin exhausting. 12/10 would snug passionately https://t.co/j211oCDRs6,12,10,bloodhound,57%,True,redbone,24%,True,Tibetan mastiff,8%,True,18175,2795
70,876484053909872640,2017-06-18 16:57:37,This is Benedict. He wants to thank you for this delightful urban walk. Hopes you know he loves you. 13/10 super duper good boy https://t.co/26BXueUgbs,13,10,golden retriever,87%,True,Irish terrier,3%,True,chow,1%,True,16521,1992
71,876120275196170240,2017-06-17 16:52:05,"Meet Venti, a seemingly caffeinated puppoccino. She was just informed the weekend would include walks, pats and scritches. 13/10 much excite https://t.co/ejExJFq3ek",13,10,Bernese mountain dog,53%,True,Saint Bernard,34%,True,Greater Swiss Mountain dog,9%,True,24631,3892
72,875747767867523072,2017-06-16 16:11:53,"This is Goose. He's a womanizer. Cheeky as h*ck, but also deep. Tongue slip game on another level. 13/10 will steal your girl https://t.co/V2WlACRJCN",13,10,Labrador retriever,79%,True,Chesapeake Bay retriever,17%,True,vizsla,0%,True,22040,3569
73,875144289856114688,2017-06-15 00:13:52,Meet Nugget and Hank. Nugget took Hank's bone. Hank is wondering if you would please return it to him. Both 13/10 would not intervene https://t.co/ogith9ejNj,13,10,Siberian husky,24%,True,Pembroke,22%,True,dingo,16%,False,19381,4136
74,875021211251597312,2017-06-14 16:04:48,Guys please stop sending pictures without any dogs in th- oh never mind hello excuse me sir. 12/10 stealthy as h*ck https://t.co/brCQoqc8AW,12,10,West Highland white terrier,71%,True,Siberian husky,9%,True,Great Pyrenees,4%,True,22498,3957
75,874680097055178752,2017-06-13 17:29:20,Meet Cash. He hath acquired a stick. A very good stick tbh. 12/10 would pat head approvingly https://t.co/lZhtizkURD,12,10,Labrador retriever,83%,True,Staffordshire bullterrier,4%,True,beagle,3%,True,24546,3908
76,874296783580663808,2017-06-12 16:06:11,This is Jed. He may be the fanciest pupper in the game right now. Knows it too. 13/10 would sign modeling contract https://t.co/0YplNnSMEm,13,10,cocker spaniel,43%,True,miniature poodle,27%,True,toy poodle,15%,True,22903,3472
77,874057562936811520,2017-06-12 00:15:36,"I can't believe this keeps happening. This, is a birb taking a bath. We only rate dogs. Please only send dogs. Thank you... 12/10 https://t.co/pwY9PQhtP2",12,10,flat-coated retriever,83%,True,black-and-tan coonhound,4%,True,Newfoundland,2%,True,20057,3368
78,874012996292530176,2017-06-11 21:18:31,"This is Sebastian. He can't see all the colors of the rainbow, but he can see that this flag makes his human happy. 13/10 #PrideMonth puppo https://t.co/XBE0evJZ6V",13,10,Cardigan,80%,True,Pembroke,11%,True,kelpie,4%,True,30035,8562
79,873580283840344065,2017-06-10 16:39:04,"We usually don't rate Deck-bound Saskatoon Black Bears, but this one is h*ckin flawless. Sneaky tongue slip too. 13/10 would hug firmly https://t.co/mNuMH9400n",13,10,Newfoundland,67%,True,Tibetan mastiff,24%,True,chow,4%,True,21334,3334
80,873213775632977920,2017-06-09 16:22:42,"This is Sierra. She's one precious pupper. Absolute 12/10. Been in and out of ICU her whole life. Help Sierra below

https://t.co/Xp01EU3qyD https://t.co/V5lkvrGLdQ",12,10,vizsla,61%,True,bloodhound,33%,True,Chesapeake Bay retriever,1%,True,6300,1326
81,872967104147763200,2017-06-09 00:02:31,Here's a very large dog. He has a date later. Politely asked this water person to check if his breath is bad. 12/10 good to go doggo https://t.co/EMYIdoblMR,12,10,Labrador retriever,47%,True,Chesapeake Bay retriever,17%,True,German short-haired pointer,9%,True,24005,4546
82,872820683541237760,2017-06-08 14:20:41,"Here are my favorite #dogsatpollingstations 
Most voted for a more consistent walking schedule and to increase daily pats tenfold. All 13/10 https://t.co/17FVMl4VZ5",13,10,pug,99%,True,French bulldog,0%,True,bull mastiff,0%,True,13032,3159
83,872620804844003328,2017-06-08 01:06:27,This is Monkey. She's supporting owners everywhere with her fancy #PrideMonth bandana. 13/10 love is love is love... https://t.co/lUcpnZDPz9,13,10,cocker spaniel,51%,True,Sussex spaniel,15%,True,standard poodle,14%,True,18273,3059
84,872486979161796608,2017-06-07 16:14:40,We. Only. Rate. Dogs. Do not send in other things like this fluffy floor shark clearly ready to attack. Get it together guys... 12/10 https://t.co/BZHiKx3FpQ,12,10,Pembroke,93%,True,Cardigan,3%,True,Chihuahua,1%,True,36022,7693
85,872122724285648897,2017-06-06 16:07:15,This is Kody. He's a baller. Wishes he was a little bit taller. Double dribbles often. Still 12/10 would happily get dunked on https://t.co/PKSpmiefwN,12,10,basketball,80%,False,pug,6%,True,dalmatian,5%,True,30123,6812
86,871879754684805121,2017-06-06 00:01:46,Say hello to Lassie. She's celebrating #PrideMonth by being a splendid mix of astute and adorable. Proudly supupporting her owner. 13/10 https://t.co/uK6PNyeh9w,13,10,Shetland sheepdog,96%,True,collie,1%,True,Pomeranian,0%,True,33005,9214
87,871762521631449091,2017-06-05 16:15:56,This is Rover. As part of pupper protocol he had to at least attempt to eat the plant. Confirmed not tasty. Needs peanut butter. 12/10 https://t.co/AiVljI6QCg,12,10,Labrador retriever,92%,True,golden retriever,6%,True,bloodhound,0%,True,17841,2959
88,871515927908634625,2017-06-04 23:56:03,This is Napolean. He's a Raggedy East Nicaraguan Zoom Zoom. Runs on one leg. Built for deception. No eyes. Good with kids. 12/10 great doggo https://t.co/PR7B7w1rUw,12,10,komondor,97%,True,briard,2%,True,swab,0%,False,17858,2928
89,871032628920680449,2017-06-03 15:55:36,"This is Boomer. He's doing an advanced water takeoff. The opposite of Sully. Ears for control, mlem for style. 13/10 simply breathtaking https://t.co/noNpY2Laoo",13,10,kelpie,39%,True,macaque,6%,False,dingo,5%,False,20112,3215
90,870804317367881728,2017-06-03 00:48:22,Real funny guys. Sending in a pic without a dog in it. Hilarious. We'll rate the rug tho because it's giving off a very good vibe. 11/10 https://t.co/GCD1JccCyi,11,10,home theater,16%,False,sandbar,9%,False,television,7%,False,29719,5269
91,870656317836468226,2017-06-02 15:00:16,"This is Cody. He zoomed too aggressively and tore his ACL. Happens to the best of us. Still 13/10

Help Cody here: https://t.co/4hxnDOt1CV https://t.co/42ryYRQ2Q4",13,10,Pembroke,94%,True,Cardigan,4%,True,beagle,0%,True,10866,2192
92,870374049280663552,2017-06-01 20:18:38,This is Zoey. She really likes the planet. Would hate to see willful ignorance and the denial of fairly elemental science destroy it. 13/10 https://t.co/T1xlgaPujm,13,10,golden retriever,84%,True,Great Pyrenees,9%,True,Labrador retriever,3%,True,73785,22679
93,870308999962521604,2017-06-01 16:00:09,"This is Rumble, but he's not ready to. Would rather fall asleep in his bath bucket. 13/10 would attempt a boop without waking https://t.co/MVQCzrF1g9",13,10,Greater Swiss Mountain dog,62%,True,Appenzeller,15%,True,EntleBucher,14%,True,19437,3539
94,870063196459192321,2017-05-31 23:43:25,Meet Clifford. He's quite large. Also red. Good w kids. Somehow never steps on them. Massive poops very inconvenient. Still 14/10 would ride https://t.co/apVOyDgOju,14,10,comic book,53%,False,envelope,28%,False,book jacket,4%,False,32336,7053
95,869772420881756160,2017-05-31 04:27:59,"This is Dewey (pronounced ""covfefe""). He's having a good walk. Arguably the best walk. 13/10 would snug softly https://t.co/HciEaJkC4D",13,10,Pembroke,98%,True,Cardigan,1%,True,malamute,0%,True,37921,8665
96,869702957897576449,2017-05-30 23:51:58,Meet Stanley. He likes road trips. Will shift for you. One ear more effective than other. 13/10 we don't leave until you buckle pup Stanley https://t.co/vmCu3PFCQq,13,10,Pembroke,99%,True,Cardigan,0%,True,Chihuahua,0%,True,24987,5367
97,869596645499047938,2017-05-30 16:49:31,This is Scout. He just graduated. Officially a doggo now. Have fun with taxes and losing sight of your ambitions. 12/10 would throw cap for https://t.co/DsA2hwXAJo,12,10,Chihuahua,95%,True,toy terrier,0%,True,muzzle,0%,False,14157,2630
98,869227993411051520,2017-05-29 16:24:37,This is Gizmo. His favorite thing is standing pupright like a hooman. Sneaky tongue slip status achieved. 13/10 would boop well https://t.co/IoR3n1fiiQ,13,10,Pembroke,66%,True,Chihuahua,16%,True,Cardigan,13%,True,18093,3192
99,868880397819494401,2017-05-28 17:23:24,This is Walter. He won't start hydrotherapy without his favorite floatie. 14/10 keep it pup Walter https://t.co/r28jFx9uyF,14,10,laptop,15%,False,French bulldog,9%,True,printer,7%,False,57757,12213
100,868622495443632128,2017-05-28 00:18:35,Here's a h*ckin peaceful boy. Unbothered by the comings and goings. 13/10 please reveal your wise ways https://t.co/yeaH8Ej5eM,13,10,Labrador retriever,86%,True,Great Pyrenees,6%,True,Saint Bernard,3%,True,23592,4448
101,868552278524837888,2017-05-27 19:39:34,"Say hello to Cooper. His expression is the same wet or dry. Absolute 12/10 but Coop desperately requests your help

https://t.co/ZMTE4Mr69f https://t.co/7RyeXTYLNi",12,10,whippet,37%,True,Italian greyhound,27%,True,American Staffordshire terrier,9%,True,8942,1745
102,867900495410671616,2017-05-26 00:29:37,"Unbelievable. We only rate dogs. Please don't send in non-canines like the ""I"" from Pixar's opening credits. Thank you... 12/10 https://t.co/JMhDNv5wXZ",12,10,Labrador retriever,52%,True,kuvasz,33%,True,dalmatian,3%,True,21551,3556
103,867774946302451713,2017-05-25 16:10:44,Meet Harold.  He's h*ckin cooperative. 13/10 good work Harold https://t.co/ZYg3NZGICa,13,10,Border collie,66%,True,Cardigan,17%,True,collie,8%,True,30201,6231
104,867421006826221569,2017-05-24 16:44:18,This is Shikha. She just watched you drop a skittle on the ground and still eat it. Could not be less impressed. 12/10 superior puppo https://t.co/XZlZKd73go,12,10,Eskimo dog,61%,True,Siberian husky,38%,True,malamute,0%,True,14304,2110
